entity1,relation,entity2,merged_sentence,label
the browser,augment,the HTML vocabulary,the browser augment the html vocabulary,F
the browser,augment,directives,the browser augment directives,F
directives,add,DOM control,directives add dom control,F
directives,add,unrolling,directives add unrolling,F
directives,add,behind DOM,directives add behind dom,F
directives,add,form validation,directives add form validation,F
directives,add,way data binding,directives add way data binding,F
AngularJS,was developed,Google,angularjs was developed google,F
AngularJS,is used internally by,Google,angularjs is used internally by google,T
AngularJS,is used internally by,applications,angularjs is used internally by applications,T
AngularJS,refers to,all 1.x versions,angularjs refers to all 1.x versions,F
tag,be used for,questions,tag be used for questions,F
versions,include,code names,versions include code names,F
versions,include,release dates,versions include release dates,F
versions,include,notes,versions include notes,F
code names,include,code names,code names include code names,F
code names,include,release dates,code names include release dates,F
code names,include,notes,code names include notes,F
release dates,include,code names,release dates include code names,F
release dates,include,release dates,release dates include release dates,F
release dates,include,notes,release dates include notes,F
Questions,should use,this tag,questions should use this tag,F
metadata,consists of,styling,metadata consists of styling,F
metadata,consists of,the template,metadata consists of the template,F
metadata,consists of,templateUrl,metadata consists of templateurl,F
metadata,consists of,the selector,metadata consists of the selector,F
application,needs,any value,application needs any value,F
application,needs,function,application needs function,F
application,needs,feature,application needs feature,F
Angular uses dependency injection,provide,new components,angular uses dependency injection provide new components,F
Angular uses dependency injection,provide,the services,angular uses dependency injection provide the services,F
Pipes,are used for transforming,transforming values,pipes are used for transforming transforming values,T
Pipes,are used for transforming,one form,pipes are used for transforming one form,T
Angular versioning,follows,Semantic Versioning principles,angular versioning follows semantic versioning principles,T
all major versions,feature,some breaking changes,all major versions feature some breaking changes,F
General help regarding MS Excel,is available at,Super User,general help regarding ms excel is available at super user,T
MS Excel,features,Visual Basic,ms excel features visual basic,T
specific tags,include,excel,specific tags include excel,F
specific tags,include,excel,specific tags include excel,F
specific tags,include,excel,specific tags include excel,F
specific tags,include,excel,specific tags include excel,F
specific tags,include,excel,specific tags include excel,F
specific tags,include,excel,specific tags include excel,F
specific tags,include,excel,specific tags include excel,F
specific tags,include,excel,specific tags include excel,F
Regular expressions,provide,a declarative language,regular expressions provide a declarative language,T
Regular expressions,match,patterns,regular expressions match patterns,F
Regular expressions,are commonly used for,string validation,regular expressions are commonly used for string validation,T
Regular expressions,are commonly used for,transformation,regular expressions are commonly used for transformation,T
all questions,include,a tag,all questions include a tag,F
Requests,explain,a regular expression pattern,requests explain a regular expression pattern,F
Requests,explain,construct,requests explain construct,F
this regex mean,contains,details,this regex mean contains details,F
this regex mean,contains,regular expression constructs,this regex mean contains regular expression constructs,F
the canonical post,contains,links,the canonical post contains links,T
Regular expressions,are available in,programming languages,regular expressions are available in programming languages,T
Regular expressions,are available in,dialects,regular expressions are available in dialects,T
Regular expressions,are available in,processing tools,regular expressions are available in processing tools,T
The term,is typically abbreviated as,regex,the term is typically abbreviated as regex,F
The term,is typically abbreviated as,RegEx,the term is typically abbreviated as regex,F
common denominator,recommended for,a tool,common denominator recommended for a tool,F
question,relates to,automata theory sense,question relates to automata theory sense,F
question,relates to,regular expressions,question relates to regular expressions,F
A link,see,link section,a link see link section,F
some representative data,can do,wonders,some representative data can do wonders,F
A link,see,attempt,a link see attempt,F
issue,been solved by,somebody,issue been solved by somebody,F
issue,has already been solved,somebody,issue has already been solved somebody,F
issue,asking,asking something,issue asking asking something,F
issue,asking,asking something,issue asking asking something,F
The following section,outlines,some common recurring topics,the following section outlines some common recurring topics,F
the tool,are using,using supports,the tool are using using supports,F
the tool,are using,the syntax,the tool are using the syntax,F
question,is not specific to,any particular implementation,question is not specific to any particular implementation,F
many engines,issue,a warning,many engines issue a warning,F
the regex way,say,the record,the regex way say the record,F
p,matches,the same string,p matches the same string,F
p,matches,expression http,p matches expression http,F
Beginners,attempt to use,square brackets,beginners attempt to use square brackets,F
Jun,may look like,a regex,jun may look like a regex,F
Jun,may look like,matching months,jun may look like matching months,F
abc,defines,a character class,abc defines a character class,F
a character class,matches,a single character,a character class matches a single character,F
abc,defines,the record,abc defines the record,F
The proper way,express,alternation,the proper way express alternation,F
BRE,will need,backslashes,bre will need backslashes,T
related dialects,will need,backslashes,related dialects will need backslashes,F
beginners,will use negated,character classes,beginners will use negated character classes,F
The proper way,express,many dialects,the proper way express many dialects,F
beginners,will use negated,attempt,beginners will use negated attempt,F
turn,followed by,any single character,turn followed by any single character,F
abc,matches,a single character,abc matches a single character,F
the character class negation operator,is distinct from,the beginning,the character class negation operator is distinct from the beginning,F
the engine,will find,the engine,the engine will find the engine,F
The regex a.,will match,the entire string,the regex a. will match the entire string,F
b,will match,the entire string,b will match the entire string,F
abc,captures,the last occurrence,abc captures the last occurrence,F
abc,captures,string,abc captures string,F
Regular expressions,are useful in,a wide variety,regular expressions are useful in a wide variety,T
Common applications,include,data validation,common applications include data validation,F
Common applications,include,the production,common applications include the production,F
Common applications,include,data,common applications include data,F
Common applications,include,data,common applications include data,F
Common applications,include,many other tasks,common applications include many other tasks,F
regular expressions,would be useful on,Internet search engines,regular expressions would be useful on internet search engines,F
many cases system administrators,can run,queries,many cases system administrators can run queries,F
search engines,do not offer,regex support,search engines do not offer regex support,F
many cases system administrators,can run,many cases system administrators,many cases system administrators can run many cases system administrators,F
search engines,do not offer,the public,search engines do not offer the public,F
Google,offers,re2,google offers re2,T
Google,does not backtrack,linear runtime growth,google does not backtrack linear runtime growth,T
a smartphone,was first launched on,June,a smartphone was first launched on june,F
Native iOS applications,are written in,C,native ios applications are written in c,T
Native iOS applications,are written in,the release,native ios applications are written in the release,F
Native iOS applications,are written in,Swift,native ios applications are written in swift,T
Native iOS applications,are written in,C,native ios applications are written in c,T
Native iOS applications,are written in,the release,native ios applications are written in the release,F
Native iOS applications,are written in,Swift,native ios applications are written in swift,T
Native iOS applications,using,the Cocoa Touch frameworks,native ios applications using the cocoa touch frameworks,T
Native iOS applications,using,the Cocoa Touch frameworks,native ios applications using the cocoa touch frameworks,T
the Cocoa Touch frameworks,share,many classes,the cocoa touch frameworks share many classes,T
the Cocoa Touch frameworks,share,features,the cocoa touch frameworks share features,T
the Cocoa Touch frameworks,are distinct from,Cocoa,the cocoa touch frameworks are distinct from cocoa,T
Cocoa,is used exclusively for,macOS development,cocoa is used exclusively for macos development,T
questions,are also applicable to,iPod touch devices,questions are also applicable to ipod touch devices,F
The iPhone,has,several hardware features,the iphone has several hardware features,T
The iPhone,has,sensors,the iphone has sensors,T
The iPhone,use,the Cocoa Touch frameworks,the iphone use the cocoa touch frameworks,T
iPod touch applications,use,the Cocoa Touch frameworks,ipod touch applications use the cocoa touch frameworks,T
The iPhone,wear,both tags,the iphone wear both tags,F
several hardware features,are accessible to,native applications,several hardware features are accessible to native applications,F
several hardware features,are accessible to,some cases,several hardware features are accessible to some cases,F
sensors,are accessible to,native applications,sensors are accessible to native applications,F
sensors,are accessible to,some cases,sensors are accessible to some cases,F
several hardware features,are accessible to,native applications,several hardware features are accessible to native applications,F
several hardware features,are accessible to,some cases,several hardware features are accessible to some cases,F
classes,exist in,both Cocoa,classes exist in both cocoa,F
classes,exist in,Cocoa Touch,classes exist in cocoa touch,F
The iPhone,are developed using,the Xcode IDE,the iphone are developed using the xcode ide,T
The iPhone,use,the Cocoa Touch frameworks,the iphone use the cocoa touch frameworks,T
language,combines,concepts,language combines concepts,F
language,combines,Perl,language combines perl,F
language,combines,Smalltalk,language combines smalltalk,F
language,combines,Lisp,language combines lisp,F
language,combines,concepts,language combines concepts,F
language,supports,multiple programming paradigms,language supports multiple programming paradigms,F
language,combines,Smalltalk,language combines smalltalk,F
language,combines,Lisp,language combines lisp,F
language,combines,Perl,language combines perl,F
language,combines,concepts,language combines concepts,F
language,has,a dynamic type system,language has a dynamic type system,F
language,has,automatic memory management,language has automatic memory management,F
language,combines,concepts,language combines concepts,F
language,combines,Smalltalk,language combines smalltalk,F
language,combines,Lisp,language combines lisp,F
language,combines,Perl,language combines perl,F
language,combines,Smalltalk,language combines smalltalk,F
language,combines,Lisp,language combines lisp,F
language,combines,Perl,language combines perl,F
primary purpose,help,every programmer,primary purpose help every programmer,F
primary purpose,enjoy,programming,primary purpose enjoy programming,F
Ruby,was initially conceived on,February,ruby was initially conceived on february,F
Ruby,was initially conceived on,Yukihiro Matsumoto,ruby was initially conceived on yukihiro matsumoto,T
Ruby's mindshare,spiked around,Ruby,ruby's mindshare spiked around ruby,F
Ruby,continuing to find,acceptance,ruby continuing to find acceptance,F
AJAX,uses,asynchronous data exchange,ajax uses asynchronous data exchange,T
AJAX,update displayed,information,ajax update displayed information,F
AJAX,uses,API,ajax uses api,F
data,was only sent during,the client communication phase,data was only sent during the client communication phase,F
Each HTML request,would provide,additional information,each html request would provide additional information,T
Each HTML request,would provide,additional information,each html request would provide additional information,T
Each HTML request,would provide,part,each html request would provide part,F
Each HTML request,would provide,data,each html request would provide data,T
Each HTML request,would provide,part,each html request would provide part,F
Each HTML request,would provide,data,each html request would provide data,T
This second alternative,used,operations,this second alternative used operations,F
an entire data,reloading,the base page,an entire data reloading the base page,F
an entire data,set into,the client,an entire data set into the client,F
ajax,is supported by,all modern browsers,ajax is supported by all modern browsers,T
level API,encapsulate,object,level api encapsulate object,F
level API,providing,interface,level api providing interface,F
The client,opens,a new XMLHttpRequest,the client opens a new xmlhttprequest,F
The client,requests,a web page,the client requests a web page,F
a special page,loads,data,a special page loads data,F
This request,is typically aimed at,a special page,this request is typically aimed at a special page,F
X,stands for,xml,x stands for xml,T
json,has replaced,xml,json has replaced xml,T
json,has replaced,the data interchange format,json has replaced the data interchange format,T
JavaScript,parses,text,javascript parses text,T
XML,must be parsed by,cumbersome set,xml must be parsed by cumbersome set,T
the code,must handle,the communications layer,the code must handle the communications layer,F
the client,receives,a packet,the client receives a packet,F
this callback function,will be called,every time,this callback function will be called every time,F
the client,receives,the server,the client receives the server,F
many javascript libraries,will handle,this interaction,many javascript libraries will handle this interaction,F
a new API,called fetch,an example,a new api called fetch an example,F
question,relates to,programming using Linux APIs,question relates to programming using linux apis,F
computer operating system,consists of,space libraries,computer operating system consists of space libraries,F
computer operating system,consists of,programs,computer operating system consists of programs,F
a system,uses,a monolithic kernel,a system uses a monolithic kernel,F
a monolithic kernel,handles,file system access,a monolithic kernel handles file system access,F
Device drivers,integrated directly with,the kernel,device drivers integrated directly with the kernel,F
Device drivers,are either integrated,the kernel,device drivers are either integrated the kernel,F
Separate projects,interface with,the kernel,separate projects interface with the kernel,F
the common Unix tools,carry,many basic operating system tasks,the common unix tools carry many basic operating system tasks,T
The graphical user interface,used by,Linux systems,the graphical user interface used by linux systems,F
The linux tag,is generally used for,questions,the linux tag is generally used for questions,F
Notable questions,be properly tagged as,Unix,notable questions be properly tagged as unix,F
some features,are specific to,Linux,some features are specific to linux,F
A fair number,tagged with,shell,a fair number tagged with shell,F
the particular shell,are interested in,bash,the particular shell are interested in bash,F
regarding writing GNU,should be tagged,kernel,regarding writing gnu should be tagged kernel,F
Distrowatch aggregates,keeps,track,distrowatch aggregates keeps track,F
XML flexibility,lends to,a wide variety,xml flexibility lends to a wide variety,F
XML,is defined in,the XML 1.0 Specification,xml is defined in the xml 1.0 specification,T
The tags,will be similar to,tags,the tags will be similar to tags,F
The tags,will be similar to,HTML,the tags will be similar to html,F
a language,is very similar to,HTML,a language is very similar to html,F
XML,allows creating,custom tags,xml allows creating custom tags,T
this way XML,acts like,this way XML,this way xml acts like this way xml,F
this way XML,acts like,language,this way xml acts like language,F
a language,create,other languages,a language create other languages,F
The design goals,emphasize,simplicity,the design goals emphasize simplicity,F
The design goals,emphasize,generality,the design goals emphasize generality,F
The design goals,emphasize,usability,the design goals emphasize usability,F
the design,focuses on,documents,the design focuses on documents,F
the design,is widely used for,the representation,the design is widely used for the representation,F
XML,is also used in,some protocols,xml is also used in some protocols,T
Schemas,are usually defined with,an external namespace,schemas are usually defined with an external namespace,T
XML,define,tags,xml define tags,T
XML,has reached,version,xml has reached version,F
XML,was introduced in,version,xml was introduced in version,F
XML,has,some unique features,xml has some unique features,F
the structure,is very similar to,the structure,the structure is very similar to the structure,F
the nodes,being called,tags,the nodes being called tags,F
XML,is forward compatible with,the Unicode standard,xml is forward compatible with the unicode standard,T
The following links,provide,additional information,the following links provide additional information,F
the text,serves as,an example,the text serves as an example,F
The following text,is defined using,entity references,the following text is defined using entity references,F
The following links,learn about,sgml html xhtml xquery xpath xslt xlink xpointerxml,the following links learn about sgml html xhtml xquery xpath xslt xlink xpointerxml,F
Pandas,is implemented primarily using,using NumPy,pandas is implemented primarily using using numpy,T
Pandas,is implemented primarily using,Cython,pandas is implemented primarily using cython,T
an open source web application framework,implements,pattern,an open source web application framework implements pattern,F
tooling,implements,pattern,tooling implements pattern,F
source web application framework,implements,pattern,source web application framework implements pattern,F
tooling,implements,pattern,tooling implements pattern,F
The ASP.NET MVC Framework,provides,an alternative,the asp.net mvc framework provides an alternative,F
The ASP.NET MVC Framework,provides,creating Web applications,the asp.net mvc framework provides creating web applications,T
The ASP.NET MVC Framework,provides,the ASP.NET WebForms Framework,the asp.net mvc framework provides the asp.net webforms framework,T
The ASP.NET MVC Framework,uses existing,existing ASP.NET features,the asp.net mvc framework uses existing existing asp.net features,F
The ASP.NET MVC Framework,has become,WebForms,the asp.net mvc framework has become webforms,T
The ASP.NET MVC Framework,has become,initiative,the asp.net mvc framework has become initiative,F
The ASP.NET MVC Framework,has become,recent versions,the asp.net mvc framework has become recent versions,F
mvc releases,tend to package,additional technologies,mvc releases tend to package additional technologies,F
ASP.NET MVC,is based separates,architectural pattern,asp.net mvc is based separates architectural pattern,F
ASP.NET MVC,is based separates,an application,asp.net mvc is based separates an application,F
The reason,is to provide,overall architecture,the reason is to provide overall architecture,F
The reason,is to provide,improving maintainability,the reason is to provide improving maintainability,F
This concept,is often referred to as,Separation,this concept is often referred to as separation,F
A model,represents,the state,a model represents the state,F
a model,maps to,a database table,a model maps to a database table,F
A controller,handles,interactions,a controller handles interactions,F
A controller,handles,updates,a controller handles updates,F
A model,reflect,a change,a model reflect a change,F
A controller,passes,information,a controller passes information,F
A controller,passes,the view,a controller passes the view,F
A view,accepts,necessary information,a view accepts necessary information,F
A view,renders,a user interface,a view renders a user interface,F
Microsoft,has shipped,the framework,microsoft has shipped the framework,F
Microsoft,has shipped,the framework,microsoft has shipped the framework,F
Microsoft,has shipped,a specific release,microsoft has shipped a specific release,F
Microsoft,has shipped,the ASP.NET MVC 4 release,microsoft has shipped the asp.net mvc 4 release,T
Microsoft,has shipped,the Nuget package management system,microsoft has shipped the nuget package management system,T
Microsoft,has shipped,a specific release,microsoft has shipped a specific release,F
Microsoft,has shipped,the ASP.NET MVC 4 release,microsoft has shipped the asp.net mvc 4 release,T
Microsoft,has shipped,the Nuget package management system,microsoft has shipped the nuget package management system,T
versions,tied to,a specific version,versions tied to a specific version,F
The first thing,apply,all updates,the first thing apply all updates,F
The first thing,is open up,the NuGet package manager,the first thing is open up the nuget package manager,F
compatibility,stay with,version jQuery 1.x,compatibility stay with version jquery 1.x,F
questions,may refer to,a specific version,questions may refer to a specific version,F
questions,apply to,versions,questions apply to versions,F
the question,says,MVC3,the question says mvc3,F
MVC3,applies to,MVC4,mvc3 applies to mvc4,T
MVC3,applies to,MVC5.x,mvc3 applies to mvc5.x,T
VBA,is not equivalent to,VB.NET,vba is not equivalent to vb.net,T
VBA,is not equivalent to,VBS,vba is not equivalent to vbs,T
question,is specifically about programming,any MS Office application,question is specifically about programming any ms office application,F
programming language,was first introduced by,Microsoft,programming language was first introduced by microsoft,F
Visual Basic,was introduced to,Office,visual basic was introduced to office,T
Visual Basic,was introduced to,Access,visual basic was introduced to access,T
Visual Basic,was introduced to,PowerPoint,visual basic was introduced to powerpoint,T
Visual Basic,was introduced to,Word,visual basic was introduced to word,T
VBA,uses,a subset,vba uses a subset,F
VBA,derives from,the classic Visual Basic programming language,vba derives from the classic visual basic programming language,T
VBA,create,independent executables,vba create independent executables,T
VBA,create,DLLs,vba create dlls,T
VBA,create,classic VB,vba create classic vb,T
VBA,includes,a myriad,vba includes a myriad,T
VBA 6 code,will run equally well on,any host,vba 6 code will run equally well on any host,F
VBA,is still built into,Microsoft Office applications,vba is still built into microsoft office applications,F
new features,allow,VBA,new features allow vba,F
specific object models,are regularly supplemented to support,new functionality,specific object models are regularly supplemented to support new functionality,F
VBA,address,bit version,vba address bit version,T
several important changes,made to,VBA,several important changes made to vba,F
Applications using VBA,must address,compatibility,applications using vba must address compatibility,T
Applications using VBA,must address,safe issues,applications using vba must address safe issues,T
VBA support,be locked,a security measure,vba support be locked a security measure,F
VBA support,be locked,network administrators,vba support be locked network administrators,F
Microsoft returned VBA,returned,Microsoft returned VBA,microsoft returned vba returned microsoft returned vba,F
VBA,was removed from,Office,vba was removed from office,T
VBA,was removed from,Mac,vba was removed from mac,T
Microsoft returned VBA,returned,Office,microsoft returned vba returned office,F
VBA VBA,has repeatedly replied,a large amount,vba vba has repeatedly replied a large amount,F
VBA VBA,will be removed altogether from,Office,vba vba will be removed altogether from office,F
VBA,is supported only in,the desktop application versions,vba is supported only in the desktop application versions,T
VBA,inherits much of,the BASIC programming language,vba inherits much of the basic programming language,T
a simple subroutine,generates,a message box,a simple subroutine generates a message box,F
a simple subroutine,prints,a message,a simple subroutine prints a message,F
a simple subroutine,prints,the Immediate window,a simple subroutine prints the immediate window,F
The Spring Framework,complements,the Java EE APIs,the spring framework complements the java ee apis,T
The Spring Framework,reduces,boilerplate code,the spring framework reduces boilerplate code,T
Spring,provides,services,spring provides services,F
Spring,provides,functionalities,spring provides functionalities,F
Spring,provides,the application domain,spring provides the application domain,T
People,ask about,the following Spring topics,people ask about the following spring topics,F
The data,are typically organized to,model aspects,the data are typically organized to model aspects,F
The data,are typically organized to,a way,the data are typically organized to a way,F
a way,supports finding,a hotel,a way supports finding a hotel,F
The data,is typically organized to,model aspects,the data is typically organized to model aspects,F
The data,is typically organized to,a way,the data is typically organized to a way,F
A large proportion,rely on,databases,a large proportion rely on databases,F
database systems,provide,other properties,database systems provide other properties,F
database systems,provide,persistence,database systems provide persistence,F
computer science graduates,cite,Databases database class,computer science graduates cite databases database class,F
The term database,be confused with,Database Management System,the term database be confused with database management system,F
An atomic system,must guarantee,atomicity,an atomic system must guarantee atomicity,T
An atomic system,must guarantee,every situation,an atomic system must guarantee every situation,F
a committed transaction,appears,the outside world,a committed transaction appears the outside world,F
any transaction,will bring,the database,any transaction will bring the database,F
any transaction,will bring,one valid state,any transaction will bring one valid state,F
Any data,written to,the database,any data written to the database,F
the application programmer,might have wanted,all ways,the application programmer might have wanted all ways,F
any programming errors,result in,the violation,any programming errors result in the violation,F
the concurrent execution,results in,a system state,the concurrent execution results in a system state,F
the effects,be visible to,another transaction,the effects be visible to another transaction,F
Durability,will remain,the event,durability will remain the event,F
the results,need to be,a relational database,the results need to be a relational database,F
the results,need to be,instance,the results need to be instance,F
transactions,must be recorded in,a non-volatile memory,transactions must be recorded in a non-volatile memory,F
effects,must be recorded in,a non-volatile memory,effects must be recorded in a non-volatile memory,F
topic questions,include,those about theme development,topic questions include those about theme development,F
webmasters,have,the flexibility,webmasters have the flexibility,F
webmasters,have,dynamic presentation,webmasters have dynamic presentation,F
WordPress,allows,developers,wordpress allows developers,F
WordPress,allows,WordPress system,wordpress allows wordpress system,F
pieces,can be grouped into,separate executables,pieces can be grouped into separate executables,F
WordPress,extend,functionality,wordpress extend functionality,F
WordPress,should be distinguished from,wordpress.com,wordpress should be distinguished from wordpress.com,F
Questions,asked on,Stack Exchange WordPress Development,questions asked on stack exchange wordpress development,F
server configuration,asked on,Stack Exchange WordPress Development,server configuration asked on stack exchange wordpress development,F
practices,asked on,Stack Exchange WordPress Development,practices asked on stack exchange wordpress development,F
b2,used,PHP,b2 used php,T
b2,used,MySQL,b2 used mysql,T
WordPress,appeared,January,wordpress appeared january,F
WordPress,has since been improved,many times,wordpress has since been improved many times,F
WordPress,has since been improved,updates,wordpress has since been improved updates,F
major release,released on,August,major release released on august,F
WordPress,released on,August,wordpress released on august,F
Laravel,created by,Taylor Otwell,laravel created by taylor otwell,T
Laravel,intended for,the development,laravel intended for the development,T
The source code,is hosted on,GitHub,the source code is hosted on github,F
The source code,licensed under,the terms,the source code licensed under the terms,F
MVC framework,released under,The MIT License,mvc framework released under the mit license,T
Laravel,will release,major updates,laravel will release major updates,F
Laravel,will release,version,laravel will release version,F
development,is lead by,Taylor Otwell,development is lead by taylor otwell,F
programming languages,provide,a dedicated string data type,programming languages provide a dedicated string data type,F
programming languages,providing,a way,programming languages providing a way,F
programming languages,denote,string literals,programming languages denote string literals,F
the right string type,decrease,the order,the right string type decrease the order,F
String representations,vary widely in,the features String representations,string representations vary widely in the features string representations,T
the wrong one,be able to accommodate,string data,the wrong one be able to accommodate string data,F
languages,support,strings,languages support strings,F
languages,support,a list,languages support a list,F
a special string,is getting,Unicode support,a special string is getting unicode support,F
the complexities,set into,the string type,the complexities set into the string type,F
strings,can be iterated,languages,strings can be iterated languages,F
string operations,create,new strings,string operations create new strings,F
some early adopters,transitioned,transitioned form UCS2,some early adopters transitioned transitioned form ucs2,F
many encodings,used,text strings,many encodings used text strings,F
modern usage,is converging on,Unicode,modern usage is converging on unicode,F
some early adopters,transitioned,UTF,some early adopters transitioned utf,F
some early adopters,transitioned,a persistence format,some early adopters transitioned a persistence format,F
Windows software,adopts,the WinAPI convention,windows software adopts the winapi convention,F
a String,is surrounded by,double quotes,a string is surrounded by double quotes,F
a String,is surrounded by,example,a string is surrounded by example,F
a String,is surrounded by,C++,a string is surrounded by c++,F
a String,is surrounded by,Java,a string is surrounded by java,F
Framework,used to create,rich client user experiences,framework used to create rich client user experiences,F
Runtime languages,define,user interface elements,runtime languages define user interface elements,F
A fundamental aspect,is to separate,the user interface definition,a fundamental aspect is to separate the user interface definition,F
developers,work concurrently on,the business logic,developers work concurrently on the business logic,F
designers,work concurrently on,the business logic,designers work concurrently on the business logic,F
A fundamental aspect,is to separate,the business logic,a fundamental aspect is to separate the business logic,F
developers,work concurrently on,a single project,developers work concurrently on a single project,F
designers,work concurrently on,a single project,designers work concurrently on a single project,F
UI,rendering,the video hardware,ui rendering the video hardware,F
UI,rendering,the use,ui rendering the use,F
computers GPU,frees,the CPU,computers gpu frees the cpu,F
WPF runtime libraries,are included in,Windows Server,wpf runtime libraries are included in windows server,T
WPF runtime libraries,are included in,all versions,wpf runtime libraries are included in all versions,F
WPF,employs,XAML,wpf employs xaml,T
WPF applications,be deployed as,standalone desktop programs,wpf applications be deployed as standalone desktop programs,T
WPF applications,hosted as,object,wpf applications hosted as object,F
WPF applications,hosted as,a website,wpf applications hosted as a website,F
WPF,aims to unify,pre-rendered media,wpf aims to unify pre-rendered media,T
WPF,aims to unify,typography,wpf aims to unify typography,T
WPF,aims to unify,common user interface elements,wpf aims to unify common user interface elements,T
WPF,aims to unify,vector graphics,wpf aims to unify vector graphics,T
WPF,aims to unify,runtime animation,wpf aims to unify runtime animation,T
Microsoft,has released,six major WPF versions,microsoft has released six major wpf versions,T
WPF runtime libraries,will be provided by,Microsoft,wpf runtime libraries will be provided by microsoft,T
WPF runtime libraries,will be provided by,future,wpf runtime libraries will be provided by future,F
nuget packages,known as,App Local,nuget packages known as app local,F
nuget packages,known as,order,nuget packages known as order,F
WinUI frameworks,became,December,winui frameworks became december,F
WPF,is starting with,System,wpf is starting with system,F
tool,runs on,macos,tool runs on macos,F
this tag,should be used only for,questions,this tag should be used only for questions,F
question,avoid adding,this tag,question avoid adding this tag,F
Support questions,may be asked on,Windows,support questions may be asked on windows,F
Windows,was released on,October,windows was released on october,F
Windows,was released to,October,windows was released to october,F
Windows,was released to,the market,windows was released to the market,F
question,use,the tag,question use the tag,F
MongoDB,supports,a large number,mongodb supports a large number,T
all versions,released after,October,all versions released after october,F
Commercial Licenses,provides,the Aggregation Framework,commercial licenses provides the aggregation framework,F
Commercial Licenses,provides,Reduce,commercial licenses provides reduce,F
Commercial Licenses,are also available from,MongoDB MongoDB,commercial licenses are also available from mongodb mongodb,F
Commercial Licenses,provides,complex queries,commercial licenses provides complex queries,F
Commercial Licenses,offers,a powerful query language,commercial licenses offers a powerful query language,F
MongoDB,uses,the BSON format,mongodb uses the bson format,T
MongoDB,uses,storing data,mongodb uses storing data,T
MongoDB,uses,the MongoDB Wire Protocol,mongodb uses the mongodb wire protocol,T
Community Supported Drivers,Supported,Community Supported Drivers,community supported drivers supported community supported drivers,F
Community Supported Drivers,offer,alternative implementations,community supported drivers offer alternative implementations,T
Community Supported Drivers,offer,support,community supported drivers offer support,F
Drivers,are available for,popular programming languages,drivers are available for popular programming languages,F
Client Libraries,are available for,popular programming languages,client libraries are available for popular programming languages,F
Community Supported Drivers,offer,further programming languages,community supported drivers offer further programming languages,F
MongoDB server releases,can be installed via,common packaging systems,mongodb server releases can be installed via common packaging systems,T
The current production release series,take,advantage,the current production release series take advantage,F
the Security section,includes,a MongoDB Security Checklist,the security section includes a mongodb security checklist,F
Inc.,provides,archives,inc. provides archives,F
the company,develop,related tools,the company develop related tools,F
the company,develop,services including MongoDB Cloud Manager,the company develop services including mongodb cloud manager,F
MongoDB,covers,MongoDB,mongodb covers mongodb,F
superset,compiles to,plain JavaScript,superset compiles to plain javascript,F
This tag,is not used for,general JavaScript questions,this tag is not used for general javascript questions,F
superset,compiles to,plain JavaScript,superset compiles to plain javascript,F
TypeScript,was developed by,Microsoft,typescript was developed by microsoft,T
open source software,released under,the PostgreSQL License,open source software released under the postgresql license,F
PostgreSQL,is developed by,the PostgreSQL Global Development Group,postgresql is developed by the postgresql global development group,T
Numerous forks,exist for,specialized tasks,numerous forks exist for specialized tasks,F
features,differ from,PostgreSQL,features differ from postgresql,F
syntax,differ from,PostgreSQL,syntax differ from postgresql,F
Bash,offers,numerous additions,bash offers numerous additions,T
compatible shell,incorporates,useful features,compatible shell incorporates useful features,F
compatible shell,incorporates,useful features,compatible shell incorporates useful features,F
C shell,offers,functional improvements,c shell offers functional improvements,T
the KornShell,offers,functional improvements,the kornshell offers functional improvements,T
sh scripts,can be run by,addition,sh scripts can be run by addition,F
sh scripts,can be run by,Bash,sh scripts can be run by bash,T
sh scripts,can be run by,modification,sh scripts can be run by modification,F
Bash,was written by,Brian Fox,bash was written by brian fox,T
Linux installations,should be using,using something,linux installations should be using using something,F
Linux installations,should be using,the 4.x family,linux installations should be using the 4.x family,T
macOS,uses,version,macos uses version,F
macOS,uses,licensing issues,macos uses licensing issues,F
macOS,uses,default,macos uses default,F
an answerer,assume,an explicit version,an answerer assume an explicit version,F
Questions tagged osx,imply,version,questions tagged osx imply version,F
line characters,Use,v yourfile,line characters use v yourfile,F
line characters,Use,echo,line characters use echo,F
future readers,can benefit from,question,future readers can benefit from question,F
DOS carriage returns,will show,M,dos carriage returns will show m,F
DOS carriage returns,will show,each line,dos carriage returns will show each line,F
The bash tag,should be reserved for,problems,the bash tag should be reserved for problems,F
the error,is automatically caught by,shellcheck,the error is automatically caught by shellcheck,F
Some fundamentals,are surprising even to,veterans,some fundamentals are surprising even to veterans,F
Bash questions,are not really specific to,Bash,bash questions are not really specific to bash,F
The Stack Overflow bash chat,is useful for coordinating,coordinating work,the stack overflow bash chat is useful for coordinating coordinating work,F
NET,is one of,C#,net is one of c#,T
NET,is one of,F#,net is one of f#,T
NET,can be viewed as,an evolution,net can be viewed as an evolution,T
NET,can be viewed as,an evolution,net can be viewed as an evolution,T
NET,implemented on,Microsoft,net implemented on microsoft,T
NET,continues from,VB6,net continues from vb6,T
portion,is still often referred to,that way,portion is still often referred to that way,F
Microsoft,decided to drop,"the \\.NET\"","microsoft decided to drop the \\.net\"",T
this tag,be used for,questions,this tag be used for questions,F
this tag,be confused with,vb6,this tag be confused with vb6,F
